Name of Institution,Street Address,City,ZIP Code,County,Georeference
Bethpage Federal Credit Union,405 Nassau Road,Roosevelt,11575,Nassau,POINT (-73.59221 40.68267)
Bethpage Federal Credit Union,555 Montauk Highway,West Babylon,11704,Suffolk,POINT (-73.34199 40.68786)
Bethpage Federal Credit Union,357 Larkfield Road,East Northport,11731,Suffolk,POINT (-73.32211 40.86948)
Bethpage Federal Credit Union,1800 Grand Avenue,Baldwin,11510,Nassau,POINT (-73.60853 40.66689)
Bethpage Federal Credit Union,231 West Merrick Road,Valley Stream,11580,Nassau,POINT (-73.70488 40.66813)
Bethpage Federal Credit Union,4006 Merrick Road,Seaford,11783,Nassau,POINT (-73.48423 40.66618)
Bethpage Federal Credit Union,2245 Middle Country Road,Centereach,11720,Suffolk,POINT (-73.09126 40.8582)
Bethpage Federal Credit Union,1145 Willis Avenue,Albertson,11507,Nassau,POINT (-73.65019 40.77506)
Bethpage Federal Credit Union,700 Northern Boulevard,Brookville,11548,Nassau,POINT (-73.60727 40.81673)
Bethpage Federal Credit Union,899 South Oyster Bay Road,Bethpage,11714,Nassau,POINT (-73.49873 40.76144)
Bethpage Federal Credit Union,4802 Nesconset Highway,Port Jefferson Station,11776,Suffolk,POINT (-73.05476 40.9178)
Bethpage Federal Credit Union,722 Walt Whitman Road,Melville,11747,Suffolk,POINT (-73.41122 40.8038)
Bethpage Federal Credit Union,591 East Main Street,Bay Shore,11706,Suffolk,POINT (-73.22898 40.72878)
Bethpage Federal Credit Union,33 Gerard Street,Huntington,11743,Suffolk,POINT (-73.42673 40.87284)
Bethpage Federal Credit Union,1350 Deer Park Avenue,North Babylon,11703,Suffolk,POINT (-73.32249 40.74286)
Bethpage Federal Credit Union,111 West 26th Street,New York,10001,New York,POINT (-73.99208 40.74508)
Bethpage Federal Credit Union,240 Middle Town Road,Smithtown,11787,Suffolk,POINT (-73.18095 40.85534)
Bethpage Federal Credit Union,1095 Old Country Road,Riverhead,11901,Suffolk,POINT (-72.6756 40.93091)
Bethpage Federal Credit Union,1033 Route 109,Farmingdale,11735,Nassau,POINT (-73.43071 40.72465)
Bethpage Federal Credit Union,120 Veterans Highway,Commack,11725,Suffolk,POINT (-73.28425 40.8385)
"Bridgehampton National Bank, The",15 Long Island Ave,Sag Harbor,11963,Suffolk,POINT (-72.2964 41.0021)
"Bridgehampton National Bank, The",4155 Veterans Memorial Highway,Ronkonkoma,11779,Suffolk,POINT (-73.09962 40.78301)
"Bridgehampton National Bank, The",3121 Long Beach Road,Oceanside,11572,Nassau,POINT (-73.63981 40.63621)
"Bridgehampton National Bank, The",43-01 Bell Boulevard,Bayside,11361,Queens,POINT (-73.76986 40.76126)
"Bridgehampton National Bank, The",8 Gingerbread Lane,East Hampton,11937,Suffolk,POINT (-72.19596 40.96333)
"Bridgehampton National Bank, The",41 East Main Street,Patchogue,11772,Suffolk,POINT (-73.01415 40.76568)
"Bridgehampton National Bank, The",200 Middle Neck Road,Great Neck,11021,Nassau,POINT (-73.73378 40.79346)
"Bridgehampton National Bank, The",8191 Jericho Turnpike,Woodbury,11797,Nassau,POINT (-73.46846 40.81598)
"Bridgehampton National Bank, The",75 Route 25 A,Rocky Point,11778,Suffolk,POINT (-72.96003 40.94572)
"Bridgehampton National Bank, The",40 Peconic Avenue,Riverhead,11901,Suffolk,POINT (-72.66255 40.91635)
"Bridgehampton National Bank, The",2222 Merrick Road,Merrick,11556,Nassau,POINT (-73.54213 40.65967)
"Bridgehampton National Bank, The",859 Walt Whitman Road,Melville,11747,Suffolk,POINT (-73.41309 40.79988)
"Bridgehampton National Bank, The",750 Hicksville Road,Massapequa,11758,Nassau,POINT (-73.47855 40.69234)
"Bridgehampton National Bank, The",180 East Main Street,Smithtown,11787,Suffolk,POINT (-73.18679 40.85576)
"Bridgehampton National Bank, The",380 East Main Street,Bayshore,11706,Suffolk,POINT (-73.23557 40.72649)
"Bridgehampton National Bank, The",21 North Ferry Road,Shelter Island,11964,Suffolk,POINT (-72.33486 41.0679)
"Bridgehampton National Bank, The",15 Frowein Road,Center Moriches,11934,Suffolk,POINT (-72.77719 40.80888)
"Bridgehampton National Bank, The",898 Veterans Memorial Highway,Hauppauge,11788,Suffolk,POINT (-73.20207 40.81919)
"Bridgehampton National Bank, The",1055 Franklin Avenue,Garden City,11530,Nassau,POINT (-73.63602 40.73066)
"Bridgehampton National Bank, The",337 MAIN STREET,HUNTINGTON,11743,Suffolk,POINT (-73.42951 40.87084)
"Bridgehampton National Bank, The",799 Hillside Avenue,New Hyde Park,11040,Nassau,POINT (-73.69392 40.74312)
"Bridgehampton National Bank, The",414 Main Street,Port Jefferson,11777,Suffolk,POINT (-73.06708 40.94333)
"Bridgehampton National Bank, The",10900 Main Road,Mattituck,11952,Suffolk,POINT (-72.53655 40.98612)
"Bridgehampton National Bank, The",243 Windmill Lane,Southampton,11969,Suffolk,POINT (-72.39448 40.89022)
"Bridgehampton National Bank, The",218 Front Street,Greenport,11944,Suffolk,POINT (-72.36263 41.10173)
"Bridgehampton National Bank, The",2200 Montauk Highway,Bridgehampton,11932,Suffolk,POINT (-72.31167 40.93396)
"Bridgehampton National Bank, The",2 Bay Street,Sag Harbor,11963,Suffolk,POINT (-72.29446 41.00201)
"Bridgehampton National Bank, The",48 East Montauk Highway,Hampton Bays,11946,Suffolk,POINT (-72.52053 40.87907)
"Bridgehampton National Bank, The",3 The Plaza,Montauk,11954,Suffolk,POINT (-71.94493 41.03485)
"Bridgehampton National Bank, The",194 Mill Road,Westhampton Beach,11978,Suffolk,POINT (-72.64693 40.81484)
"Bridgehampton National Bank, The",150 Hampton Road,Southampton,11968,Suffolk,POINT (-72.38444 40.88816)
"Bridgehampton National Bank, The",32845 Main Road,Cutchogue,11935,Suffolk,POINT (-72.47799 41.0223)
"Bridgehampton National Bank, The",54970 Main Road,Southold,11971,Suffolk,POINT (-72.42487 41.06562)
"Bridgehampton National Bank, The",6324 Route 25A,Wading River,11792,Suffolk,POINT (-72.84265 40.94436)
"Bridgehampton National Bank, The",1218 Broadway,Hewlett,11557,Nassau,POINT (-73.7027 40.63707)
"Bridgehampton National Bank, The",333 Merrick Road,Rockville Centre,11570,Nassau,POINT (-73.64305 40.65618)
"Bridgehampton National Bank, The",400 Broadhollow Road,Melville,11747,Suffolk,POINT (-73.42131 40.77843)
"Bridgehampton National Bank, The",55 Main Street,East Hampton,11937,Suffolk,POINT (-72.18618 40.96273)
"Bridgehampton National Bank, The",630 Montauk Highway,Shirley,11967,Suffolk,POINT (-72.87561 40.80051)
"Bridgehampton National Bank, The",410 Commack Road,Deer Park,11729,Suffolk,POINT (-73.31363 40.76116)
Broadway National Bank,156-44 Northern Boulevard,Flushing,11354,Queens,POINT (-73.80942 40.7633)
Broadway National Bank,250 Fifth Avenue,New York,10001,New York,POINT (-73.98723 40.74478)
Buffalo Metropolitan Federal CU,50 Delaware Avenue,Buffalo,14202,Erie,POINT (-78.87847 42.88541)
Buffalo Metropolitan Federal CU,2855 Main Street,Buffalo,14214,Erie,POINT (-78.83285 42.94493)
Buffalo Metropolitan Federal CU,62 South Elmwood Avenue,Buffalo,14202,Erie,POINT (-78.88003 42.88716)
Buffalo Metropolitan Federal CU,65 Niagara Square,Buffalo,14202,Erie,POINT (-78.87875 42.88653)
Buffalo Metropolitan Federal CU,3010 Walden Avenue,Depew,14043,Erie,POINT (-78.71919 42.91066)
Buffalo Metropolitan Federal CU,257 West Genesee Street,Buffalo,14202,Erie,POINT (-78.88286 42.88599)
Buffalo Metropolitan Federal CU,110 14th Street,Buffalo,14213,Erie,POINT (-78.88446 42.90391)
Buffalo Metropolitan Federal CU,370 Seneca Street,Buffalo,14202,Erie,POINT (-78.86289 42.87833)
Buffalo Service Credit Union,3495 Bailey Ave.,Buffalo,14215,Erie,POINT (-78.81303 42.95119)
Buffalo Service Credit Union,111 W. Huron St.,Buffalo,14202,Erie,POINT (-78.87805 42.88946)
CFCU Community Credit Union,1022 Ellis Hollow Road,Ithaca,14850,Tompkins,POINT (-76.46233 42.43581)
CFCU Community Credit Union,"The Campus Store, Cornell University",Ithaca,14853,Tompkins,
CFCU Community Credit Union,99 Sheraton Drive,Ithaca,14850,Tompkins,POINT (-76.47893 42.47827)
CFCU Community Credit Union,409 North Meadow Street,Ithaca,14850,Tompkins,POINT (-76.50853 42.44288)
CFCU Community Credit Union,3910 Route 281,Cortland,13045,Cortland,POINT (-76.20604 42.596)
CFCU Community Credit Union,182 Port Watson Street,Cortland,13045,Cortland,POINT (-76.16526 42.59831)
CTBC Bank Corp. (USA),41-99 Main Street,Flushing,11355,Queens,POINT (-73.82837 40.75554)
CTBC Bank Corp. (USA),54-18 8th Avenue,Brooklyn,11220,Kings,POINT (-73.97263 40.67398)
Canandaigua Federal Credit Union,3210 EASTERN BOULEVARD,CANANDAIGUA,14424,Ontario,POINT (-77.24555 42.87468)
Canandaigua National Corporation,4 Main Street,Bloomfield,14469,Ontario,POINT (-77.42019 42.90193)
Canandaigua National Corporation,1341 Mount Hope Avenue,Rochester,14620,Monroe,POINT (-77.61813 43.12347)
Canandaigua National Corporation,3204 Latta Road,Rochester,14626,Monroe,POINT (-77.69921 43.2535)
Canandaigua National Corporation,1575 Mount Hope Avenue,Rochester,14620,Monroe,POINT (-77.62056 43.11911)
Canandaigua National Corporation,17 Chapin Street,Canandaigua,14424,Ontario,POINT (-77.28185 42.88667)
Canandaigua National Corporation,1155 Ridge Road,Webster,14580,Monroe,POINT (-77.44378 43.20998)
Canandaigua National Corporation,45 East Main Street,Rochester,14614,Monroe,POINT (-77.61151 43.15593)
Canandaigua National Corporation,119 South Main Street,Manchester,14504,Ontario,POINT (-77.23026 42.96047)
Canandaigua National Corporation,1816 Penfield Road,Penfield,14526,Monroe,POINT (-77.47649 43.13014)
Canandaigua National Corporation,2075 Monroe Avenue,Rochester,14618,Monroe,POINT (-77.56227 43.12394)
Canandaigua National Corporation,1225 Commons Way,Rochester,14623,Monroe,POINT (-77.60676 43.08327)
Canandaigua National Corporation,709 South Main Street,Canandaigua,14424,Ontario,POINT (-77.27328 42.87665)
Canandaigua National Corporation,210 Alexander Street,Rochester,14607,Monroe,POINT (-77.5974 43.14937)
Canandaigua National Corporation,291 Hamilton Street,Geneva,14456,Ontario,POINT (-76.99476 42.85882)
Canandaigua National Corporation,7979 Victor Pittsford Road,Victor,14564,Ontario,POINT (-77.441061854 43.031376347)
Canandaigua National Corporation,60-70 South Main Street,Canandaigua,14424,Ontario,POINT (-77.28152 42.88654)
Canandaigua National Corporation,3228 Chili Avenue,Rochester,14626,Monroe,POINT (-77.75263 43.10444)
Canandaigua National Corporation,6183 Route 96,Farmington,14425,Ontario,POINT (-77.36328 42.97436)
Canandaigua National Corporation,2455 West Ridge Road,Rochester,14626,Monroe,POINT (-77.69403 43.20908)
Canandaigua National Corporation,8633 U.S. Route 20A,Honeoye,14471,Ontario,POINT (-77.51014 42.78909)
Canandaigua National Corporation,99 West Main Street,Honeoye Falls,14472,Monroe,POINT (-77.59907 42.95022)
Canandaigua National Corporation,2128 Hudson Avenue,Rochester,14617,Monroe,POINT (-77.60024 43.20678)
Canandaigua National Corporation,51 Assembly Drive,Mendon,14506,Monroe,POINT (-77.50824 43.0004)
Canandaigua National Corporation,6720 Pittsford Palmyra Road,Fairport,14450,Monroe,POINT (-77.44109 43.06954)
Canandaigua National Corporation,18 State Street,Pittsford,14534,Monroe,POINT (-77.5142 43.09077)
Canandaigua National Corporation,61 West Main Street,Victor,14564,Ontario,POINT (-77.41146 42.98312)
Canandaigua National Corporation,1998 Empire Boulevard,Webster,14580,Monroe,POINT (-77.50061 43.19361)
Capital Communications Federal CU,4 Century Hill Drive,Latham,12110,Albany,POINT (-73.75392 42.77095)
Capital Communications Federal CU,582 Balltown Road,Schenectady,12304,Schenectady,POINT (-73.89243 42.78378)
Capital Communications Federal CU,341 New Karner Road,Albany,12205,Albany,POINT (-73.85519 42.72839)
Capital Communications Federal CU,384 Bender Lane,Glenmont,12077,Albany,POINT (-73.79121 42.60632)
Capital Communications Federal CU,100 Van Rensselaer Square,Rensselaer,12144,Rensselaer,POINT (-73.68947 42.65377)
Capital Communications Federal CU,799 Hoosick Street,Brunswick,12180,Rensselaer,POINT (-73.63712 42.74891)
Capital Communications Federal CU,1744 Route 9,Clifton Park,12065,Saratoga,POINT (-73.77459 42.87068)
Capital Communications Federal CU,2439 Route 9,Malta,12020,Saratoga,POINT (-73.79128 42.96701)
Capital Communications Federal CU,219 Ontario Street,Cohoes,12047,Albany,POINT (-73.6961 42.77428)
Capital Communications Federal CU,4 Winners Circle,Albany,12205,Albany,POINT (-73.79632 42.72031)
"Capital One, N.A.",2519 Broadway,New York,10025,New York,POINT (-73.97292 40.79327)
"Capital One, N.A.",65-21 18th Avenue,Brooklyn,11204,Kings,
"Capital One, N.A.",277 Broadway,New York,10007,New York,POINT (-74.0062 40.71427)
"Capital One, N.A.",485 County Road 111,Manorville,11949,Suffolk,POINT (-72.79879 40.87105)
"Capital One, N.A.",416 Metropolitan Avenue,Brooklyn,11211,Kings,POINT (-73.95456 40.71407)
"Capital One, N.A.",249 East 86th Street,New York,10028,New York,POINT (-73.95209 40.77802)
"Capital One, N.A.",750 Columbus Avenue,New York,10025,New York,POINT (-73.96734 40.79316)
"Capital One, N.A.",19 Jericho Turnpike,Huntington Station,11746,Suffolk,POINT (-73.40819 40.82832)
"Capital One, N.A.",160 Main Street,Sayville,11782,Suffolk,POINT (-73.08404 40.73375)
"Capital One, N.A.",91 School Street,Glen Cove,11542,Nassau,POINT (-73.63123 40.8672)
"Capital One, N.A.",301 West 125th Street,New York,10027,New York,POINT (-73.95154 40.81033)
"Capital One, N.A.",341 Eastern Parkway,Brooklyn,11216,Kings,POINT (-73.95778 40.6708)
"Capital One, N.A.",1519 Avenue U,Brooklyn,11229,Kings,POINT (-73.95561 40.59891)
"Capital One, N.A.",145-15 243rd Street,Rosedale,11422,Queens,POINT (-73.74018 40.65922)
"Capital One, N.A.",252-25 Union Turnpike,Bellerose,11426,Queens,POINT (-73.71787 40.74395)
"Capital One, N.A.",119-01 Metropolitan Avenue,Kew Gardens,11415,Queens,POINT (-73.8316 40.70609)
"Capital One, N.A.",1650 Grand Concourse,Bronx,10468,Bronx,POINT (-73.91177 40.84362)
"Capital One, N.A.",1995 New Highway,Farmingdale,11735,Nassau,POINT (-73.41411 40.75472)
"Capital One, N.A.",144 Eighth Avenue,New York,10011,New York,POINT (-74.00097 40.74188)
"Capital One, N.A.",70-24 Myrtle Avenue,Glendale,11385,Queens,POINT (-73.88017 40.70199)
"Capital One, N.A.",83-24 Woodhaven Boulevard,Glendale,11385,Queens,POINT (-73.85538 40.70244)
"Capital One, N.A.",1510 Second Avenue,New York,10075,New York,POINT (-73.95522 40.77311)
"Capital One, N.A.",70-01 Forest Avenue,Ridgewood,11385,Queens,POINT (-73.90033 40.70089)
"Capital One, N.A.",155-14 Cross Bay Boulevard,Howard Beach,11414,Queens,POINT (-73.84146 40.66441)
"Capital One, N.A.",248-40 Northern Boulevard,Little Neck,11363,Queens,POINT (-73.73827 40.76745)
"Capital One, N.A.",2123 Avenue U,Brooklyn,11229,Kings,POINT (-73.94959 40.59957)
"Capital One, N.A.",175 West 72nd Street,New York,10023,New York,POINT (-73.9813 40.77846)
"Capital One, N.A.",116 E.Main Street,Patchogue,11772,Suffolk,POINT (-73.01254 40.76574)
"Capital One, N.A.",3780 East Tremont Avenue,Bronx,10465,Bronx,POINT (-73.82097 40.8253)
"Capital One, N.A.",120 West 23rd Street,New York,10011,New York,POINT (-73.99359 40.74323)
"Capital One, N.A.",15 Lake Ridge Plaza,Valley Cottage,10989,Rockland,POINT (-73.9427 41.1216)
"Capital One, N.A.",257-03 Hillside Avenue,Floral Park,11004,Nassau,POINT (-73.71077 40.73717)
"Capital One, N.A.",347 Sixth Avenue,New York,10014,New York,POINT (-74.00084 40.73187)
"Capital One, N.A.",1615 Northern Boulevard,Manhasset,11030,Nassau,POINT (-73.68723 40.79445)
"Capital One, N.A.",1020 Port Washington Boulevard,Port Washington,11050,Nassau,POINT (-73.68454 40.8306)
"Capital One, N.A.",50 Court Street,Brooklyn,11201,Kings,POINT (-73.99109 40.69236)
"Capital One, N.A.",54375 Route 25,Southold,11971,Suffolk,POINT (-72.42675 41.06482)
"Capital One, N.A.",3517 Johnson Avenue,Bronx,10463,Bronx,POINT (-73.90984 40.8861)
"Capital One, N.A.",240 Page Avenue,Staten Island,10307,Richmond,POINT (-74.23563 40.51771)
"Capital One, N.A.",11 East Park Avenue,Long Beach,11561,Nassau,POINT (-73.66415 40.58866)
"Capital One, N.A.",911 Central Park Avenue,Scarsdale,10583,Westchester,POINT (-73.82132 40.99278)
"Capital One, N.A.",380 Hillside Avenue,Williston Park,11596,Nassau,POINT (-73.65495 40.75403)
"Capital One, N.A.",470 Park Avenue,New York,10016,New York,POINT (-73.98247 40.74561)
"Capital One, N.A.",1370 Boston Post Road,Larchmont,10538,Westchester,POINT (-73.7486 40.93425)
"Capital One, N.A.",2310 Frederick Douglas Boulevard,New York,10027,New York,POINT (-73.95141 40.80984)
"Capital One, N.A.",4612 13th Avenue,Brooklyn,11219,Kings,POINT (-73.99066 40.63642)
"Capital One, N.A.",2102-2128 Ralph Avenue,Brooklyn,11234,Kings,POINT (-73.91829 40.6258)
"Capital One, N.A.",185 Broadway,Brooklyn,11211,Kings,POINT (-73.96216 40.70987)
"Capital One, N.A.",290 Main Street,Islip,11751,Suffolk,POINT (-73.21821 40.72773)
"Capital One, N.A.",172 Montauk Highway,Speonk,11972,Suffolk,POINT (-72.69919 40.81906)
"Capital One, N.A.",140 East Main Street,Riverhead,11901,Suffolk,POINT (-72.65967 40.91801)
"Capital One, N.A.",245 Love Lane,Mattituck,11952,Suffolk,POINT (-72.53497 40.99201)
"Capital One, N.A.",146-21 Jamaica Avenue,Jamaica,11435,Queens,POINT (-73.80858 40.7018)
"Capital One, N.A.",424 Madison Avenue,New York,10017,New York,POINT (-73.97616 40.75709)
"Capital One, N.A.",68 West Main Street,Oyster Bay,11771,Nassau,POINT (-73.53332 40.87232)
"Capital One, N.A.",1745 Broadway,New York,10019,New York,POINT (-73.98204 40.76519)
"Capital One, N.A.",61-24 188th Street,Flushing,11365,Queens,POINT (-73.78651 40.74034)
"Capital One, N.A.",65 North Main Street,New City,10956,Rockland,POINT (-73.98925 41.1492)
"Capital One, N.A.",1276 Fulton Avenue,Bronx,10456,Bronx,POINT (-73.90376 40.83174)
"Capital One, N.A.",Chelsea Piers #62,New York,10011,New York,POINT (-74.00801 40.74837)
"Capital One, N.A.",Chelsea Pier #61,New York,10011,New York,POINT (-74.00827 40.74691)
"Capital One, N.A.",Chelsea Pier #60,New York,10011,New York,POINT (-74.00845 40.74592)
"Capital One, N.A.",Chelsea Pier #59,New York,10011,New York,POINT (-74.00845 40.7459)
"Capital One, N.A.",4374 Sunrise Highway,Massapequa,11758,Nassau,POINT (-73.47233 40.6757)
"Capital One, N.A.",450 Union Boulevard,West Islip,11795,Suffolk,POINT (-73.30012 40.70801)
"Capital One, N.A.",95 East Montauk Highway,Hampton Bays,11946,Suffolk,POINT (-72.51807 40.88019)
"Capital One, N.A.",154 Bleecker Street,New York,10012,New York,POINT (-73.99947 40.72831)
"Capital One, N.A.",8 Little East Neck Road,Babylon,11702,Suffolk,POINT (-73.33446 40.69331)
"Capital One, N.A.",5001 5th Avenue,Brooklyn,11220,Kings,POINT (-74.0104 40.64501)
"Capital One, N.A.",927 Flatbush Avenue,Brooklyn,11226,Kings,POINT (-73.95839 40.64911)
"Capital One, N.A.",386 Forest Avenue,Staten Island,10301,Richmond,POINT (-74.10224 40.63098)
"Capital One, N.A.",300 Madison Avenue,New York,10017,New York,POINT (-73.97954 40.75246)
"Capital One, N.A.",21 Dyckman Street,New York,10040,New York,POINT (-73.92327 40.85932)
"Capital One, N.A.",501 Broadway,New York,10012,New York,POINT (-73.9995 40.72215)
"Capital One, N.A.",858 Fulton Street,Brooklyn,11238,Kings,POINT (-73.96701 40.6835)
"Capital One, N.A.",2003 Smith Haven Plaza,Lake Grove,11755,Suffolk,POINT (-73.13059 40.86822)
"Capital One, N.A.",557 Melrose Avenue,Bronx,10455,Bronx,POINT (-73.91764 40.81635)
"Capital One, N.A.",739 Pulaski Road,Greenlawn,11740,Suffolk,POINT (-73.35123 40.86849)
"Capital One, N.A.",115 Forest Avenue,Glen Cove,11542,Nassau,POINT (-73.62101 40.87394)
"Capital One, N.A.",61 Route 25A,East Setauket,11733,Suffolk,POINT (-73.10835 40.94089)
"Capital One, N.A.",1001 Avenue of The Americas,New York,10018,New York,POINT (-73.98625 40.75189)
"Capital One, N.A.",99 Smithtown By-Pass,Hauppauge,11788,Suffolk,POINT (-73.20708 40.82566)
"Capital One, N.A.",620 West 181st Street,New York,10033,New York,POINT (-73.9347 40.84973)
"Capital One, N.A.",143 Alexander Avenue,Lake Grove,11755,Suffolk,POINT (-73.13444 40.86603)
"Capital One, N.A.",800 Montauk Highway,Shirley,11967,Suffolk,POINT (-72.86729 40.80024)
"Capital One, N.A.",366 Route 25A,Rocky Point,11778,Suffolk,POINT (-72.94187 40.94523)
"Capital One, N.A.",35 Merrick Avenue,Merrick,11566,Nassau,POINT (-73.55295 40.66479)
"Capital One, N.A.",210 Mineola Boulevard,Mineola,11501,Nassau,POINT (-73.64206 40.74582)
"Capital One, N.A.",77 Lincoln Avenue,Rockville Centre,11570,Nassau,POINT (-73.64673 40.65483)
"Capital One, N.A.",420 Court Street,Brooklyn,11231,Kings,POINT (-73.99717 40.6797)
"Capital One, N.A.",413 86th Street,Brooklyn,11209,Kings,POINT (-74.02799 40.62256)
"Capital One, N.A.",6501 11th Avenue,Brooklyn,11219,Kings,POINT (-74.00606 40.62851)
"Capital One, N.A.",7401 13th Avenue,Brooklyn,11228,Kings,POINT (-74.00687 40.62082)
"Capital One, N.A.",840 Ninth Avenue,New York,10019,New York,POINT (-73.98682 40.76639)
"Capital One, N.A.",2 Jericho Plaza,Jericho,11753,Nassau,POINT (-73.5501 40.7853)
"Capital One, N.A.",4110 Veterans Memorial Highway,Bohemia,11716,Suffolk,POINT (-73.10055 40.78224)
"Capital One, N.A.",Pier 40 West Street,New York,10014,New York,
"Capital One, N.A.",369 Merrick Avenue,East Meadow,11554,Nassau,POINT (-73.57268 40.71346)
"Capital One, N.A.",57 Purchase Street,Rye,10580,Westchester,POINT (-73.68485 40.98371)
"Capital One, N.A.",1085 Northern Boulevard,Roslyn,11576,Nassau,POINT (-73.66031 40.79957)
"Capital One, N.A.",1295 Second Avenue,New York,10023,New York,POINT (-73.96056 40.76579)
"Capital One, N.A.",1226 Kings Highway,Brooklyn,11229,Kings,POINT (-73.96022 40.60796)
"Capital One, N.A.",159 Second Avenue,New York,10003,New York,POINT (-73.9869 40.72968)
"Capital One, N.A.",300 East 55th Street,New York,10022,New York,POINT (-73.96623 40.75803)
"Capital One, N.A.",1411 Forest Avenue,Staten Island,10302,Richmond,POINT (-74.13601 40.62494)
"Capital One, N.A.",1345 Third Avenue,New York,10075,New York,POINT (-73.95838 40.77278)
"Capital One, N.A.",3049 Buhre Avenue,Bronx,10461,Bronx,POINT (-73.83068 40.84761)
"Capital One, N.A.",273 East 3rd Street,New York,10009,New York,POINT (-73.98037 40.72158)
"Capital One, N.A.",176 Broadway,New York,10038,New York,POINT (-74.0098 40.71002)
"Capital One, N.A.",1166 Avenue of the Americas,New York,10036,New York,POINT (-73.98247 40.75708)
"Capital One, N.A.",1536 Third Avenue,New York,10028,New York,POINT (-73.95374 40.77915)
"Capital One, N.A.",30-98 Steinway Street,Astoria,11103,Queens,POINT (-73.91695 40.76149)
"Capital One, N.A.",179 Avenue U,Brooklyn,11223,Kings,POINT (-73.97772 40.5965)
"Capital One, N.A.",1620 Avenue U,Brooklyn,11229,Kings,POINT (-73.95473 40.59901)
"Capital One, N.A.",2379 Broadway,New York,10024,New York,POINT (-73.97619 40.78879)
"Capital One, N.A.",151 Parkway Road,Bronxville,10708,Westchester,POINT (-73.8358 40.94157)
"Capital One, N.A.",877 Stewart Avenue,Garden City,11530,Nassau,POINT (-73.60194 40.73418)
"Capital One, N.A.",57 West 57th Street,New York,10019,New York,POINT (-73.97666 40.76411)
"Capital One, N.A.",1407 Broadway,New York,10018,New York,POINT (-73.98724 40.75312)
"Capital One, N.A.",404 Fifth Avenue,New York,10022,New York,POINT (-73.98325 40.75026)
"Capital One, N.A.",2025 Broadway,New York,10023,New York,POINT (-73.98223 40.77672)
"Capital One, N.A.",750 Third Avenue,New York,10017,New York,POINT (-73.97237 40.75363)
"Capital One, N.A.",845 Third Avenue,New York,10018,New York,POINT (-73.97006 40.75677)
"Capital One, N.A.",312 Conklin Street,Farmingdale,11735,Nassau,POINT (-73.44697 40.73238)
"Capital One, N.A.",320 Park Avenue,New York,10022,New York,POINT (-73.97382 40.75753)
"Capital One, N.A.",1180 Third Avenue,New York,10021,New York,POINT (-73.96226 40.76749)
"Capital One, N.A.",121 Middle Neck Road,Great Neck,11021,Nassau,POINT (-73.72983 40.79005)
"Capital One, N.A.",151 East Fordham Road,Bronx,10468,Bronx,POINT (-73.89783 40.8624)
"Capital One, N.A.",29 West Neck Road,Shelter Island,11965,Suffolk,POINT (-72.35541 41.07494)
"Capital One, N.A.",170 Tulip Avenue,Floral Park,11001,Nassau,POINT (-73.70251 40.72399)
"Capital One, N.A.",550 Franklin Avenue,Franklin Square,11010,Nassau,POINT (-73.68416 40.69279)
"Capital One, N.A.",2303 Grand Avenue,Baldwin,11510,Nassau,POINT (-73.61012 40.65451)
"Capital One, N.A.",725 Co-Op City Boulevard,Bronx,10475,Bronx,POINT (-73.82561 40.87967)
"Capital One, N.A.",115-20 Jamaica Avenue,Richmond Hill,11418,Queens,POINT (-73.83356 40.69897)
"Capital One, N.A.",60 Cuttermill Road,Great Neck,11021,Nassau,POINT (-73.73041 40.78599)
"Capital One, N.A.",5977 Riverdale Avenue,Bronx,10471,Bronx,POINT (-73.90402 40.90791)
"Capital One, N.A.",1941 Williamsbridge Road,Bronx,10461,Bronx,POINT (-73.85376 40.85308)
"Capital One, N.A.",4201 White Plains Road,Bronx,10466,Bronx,POINT (-73.85724 40.89366)
"Capital One, N.A.",3159 Bainbridge Avenue,Bronx,10467,Bronx,POINT (-73.87943 40.87478)
"Capital One, N.A.",114-19 Liberty Avenue,Richmond Hill,11419,Queens,POINT (-73.82797 40.68571)
"Capital One, N.A.",200 Fifth Avenue,Pelham,10803,Westchester,POINT (-73.80808 40.91422)
"Capital One, N.A.",67-09 Fresh Pond Road,Ridgewood,11385,Queens,POINT (-73.89657 40.70577)
"Capital One, N.A.",40-20 Queens Boulvard,Sunnyside,11104,Queens,POINT (-73.92355 40.74357)
"Capital One, N.A.",122-03 14th Avenue,College Point,11356,Queens,POINT (-73.84517 40.78555)
"Capital One, N.A.",1145 Willis Avenue,Albertson,11507,Nassau,POINT (-73.65019 40.77506)
"Capital One, N.A.",530 North Broadway,White Plains,10603,Westchester,POINT (-73.77032 41.05162)
"Capital One, N.A.",31-17 Broadway,Astoria,11102,Queens,POINT (-73.92474 40.76167)
"Capital One, N.A.",807 Manhattan Avenue,Brooklyn,11222,Kings,POINT (-73.95321 40.728)
"Capital One, N.A.",1425 Rockaway Parkway,Brooklyn,11236,Kings,POINT (-73.90236 40.6455)
"Capital One, N.A.",41-60 Main Street,Flushing,11355,Queens,POINT (-73.82856 40.75603)
"Capital One, N.A.",3090 Ocean Avenue,Brooklyn,11235,Kings,POINT (-73.94961 40.58581)
"Capital One, N.A.",275 Broadhollow Road,Melville,11747,Suffolk,POINT (-73.41717 40.7833)
